fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
JETTE,Aker BP ASA,Shut down, 25/8-17,29.10.2009,North sea,BUSINESS ARRANGEMENT AREA,JETTE UNIT,,21077388,21613906,6185,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=21613906,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21613906,12.01.2018,09.03.2018,20.02.2019
JOHAN CASTBERG,Equinor Energy AS,Approved for production, 7220/8-1,02.05.2011,Barents sea,PRODUCTION LICENSE,532,Hammerfest,5463659,32017325,6484,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=32017325,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=32017325,15.01.2019,15.01.2019,20.02.2019
JOHAN SVERDRUP,Equinor Energy AS,Approved for production, 16/2-6,20.09.2010,North sea,BUSINESS ARRANGEMENT AREA,JOHAN SVERDRUP UNIT,Dusavik,26312510,26376286,6374,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=26376286,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=26376286,21.12.2018,21.12.2018,20.02.2019
JOTUN,Vår Energi AS,Shut down, 25/8-5 S,22.09.1994,North sea,PRODUCTION LICENSE,027 GS,Dusavik,31166668,43604,2390,33360957,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43604,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43604,11.12.2018,11.12.2018,20.02.2019
KNARR,A/S Norske Shell,Producing, 34/3-1 S,10.09.2008,North sea,PRODUCTION LICENSE,373 S,Florø,3811116,20460988,5811,562,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=20460988,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=20460988,21.11.2018,04.01.2019,20.02.2019
KRISTIN,Equinor Energy AS,Producing, 6406/2-3,15.04.1997,Norwegian sea,BUSINESS ARRANGEMENT AREA,HALTENBANKEN VEST UNIT,Kristiansund,1854695,1854729,2849,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=1854729,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1854729,18.05.2018,11.12.2018,20.02.2019
KVITEBJØRN,Equinor Energy AS,Producing, 34/11-1,25.10.1994,North sea,PRODUCTION LICENSE,193,Mongstad,22356,1036101,2377,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=1036101,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1036101,18.05.2018,08.12.2018,20.02.2019
LILLE-FRIGG,Aker BP ASA,Shut down, 25/2-4,20.10.1975,North sea,PRODUCTION LICENSE,873,,28973585,43583,356,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43583,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43583,21.11.2018,21.11.2018,20.02.2019
MARIA,Wintershall Norge AS,Producing, 6406/3-8,10.08.2010,Norwegian sea,PRODUCTION LICENSE,475 BS,,5107669,26465170,6350,21666830,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=26465170,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=26465170,19.12.2017,08.12.2018,20.02.2019
MARTIN LINGE,Equinor Energy AS,Approved for production, 30/7-6 R,03.06.1978,North sea,BUSINESS ARRANGEMENT AREA,MARTIN LINGE UNIT,Tananger/Dusavik,3812119,21675447,507,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=21675447,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21675447,18.05.2018,18.05.2018,20.02.2019
MARULK,Vår Energi AS,Producing, 6507/2-2,16.03.1992,Norwegian sea,PRODUCTION LICENSE,122,Sandnessjøen,21788,18212090,1840,33360957,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=18212090,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18212090,11.12.2018,11.12.2018,20.02.2019
MIKKEL,Equinor Energy AS,Producing, 6407/6-3,16.02.1987,Norwegian sea,BUSINESS ARRANGEMENT AREA,MIKKEL UNIT,Kristiansund,1629477,1630514,1024,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=1630514,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1630514,18.05.2018,04.02.2019,20.02.2019
MIME,Aker BP ASA,Shut down, 7/11-5,10.06.1982,North sea,PRODUCTION LICENSE,907,,30674106,43792,42,28544099,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43792,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43792,15.01.2019,15.01.2019,20.02.2019
MORVIN,Equinor Energy AS,Producing, 6506/11-7,27.07.2001,Norwegian sea,PRODUCTION LICENSE,134 B,Kristiansund,1025257,4966234,3322,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=4966234,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4966234,18.05.2018,11.12.2018,20.02.2019
MURCHISON,,Shut down, ?,,North sea,,,"Peterhead, Skottland",,43665,0,,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43665,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43665,12.01.2018,09.03.2018,20.02.2019
NJORD,Equinor Energy AS,Producing, 6407/7-1 S,07.04.1986,Norwegian sea,BUSINESS ARRANGEMENT AREA,NJORD UNIT,Kristiansund,40585,43751,474,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43751,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43751,18.05.2018,08.12.2018,20.02.2019
NORDØST FRIGG,Equinor Energy AS,Shut down, 25/1-4,30.05.1974,North sea,PRODUCTION LICENSE,903,,28974935,43568,350,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43568,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43568,21.11.2018,04.12.2018,20.02.2019
NORNE,Equinor Energy AS,Producing, 6608/10-2,29.01.1992,Norwegian sea,BUSINESS ARRANGEMENT AREA,NORNE INSIDE,Sandnessjøen,40672,43778,1782,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43778,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43778,18.05.2018,11.12.2018,20.02.2019
NOVA,Wintershall Norge AS,Approved for production, 35/9-7,14.04.2012,North sea,PRODUCTION LICENSE,418,Florø,4238348,33197696,6776,21666830,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=33197696,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=33197696,21.11.2018,08.12.2018,20.02.2019
ODA,Spirit Energy Norway AS,Approved for production, 8/10-4 S,27.10.2011,North sea,PRODUCTION LICENSE,405,,4237284,29412516,6630,33342085,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=29412516,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=29412516,15.01.2019,15.01.2019,20.02.2019
ODIN,Equinor Energy AS,Shut down, 30/10-2,28.03.1974,North sea,PRODUCTION LICENSE,903,,28974935,43610,392,32011216,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=43610,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43610,21.11.2018,04.12.2018,20.02.2019
ORMEN LANGE,A/S Norske Shell,Producing, 6305/5-1,07.10.1997,Norwegian sea,BUSINESS ARRANGEMENT AREA,ORMEN LANGE UNIT,Kristiansund,2588637,2762452,3144,562,http://factpages.npd.no/FactPages/default.aspx?nav1=field&nav2=PageView|All&nav3=2762452,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2762452,28.04.2016,17.05.2018,20.02.2019
