ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,datesyncNPD
050 IS,Petoro AS,30.00000,28222868,1626839,01.04.2017,20.02.2019
050 IS,Equinor Energy AS,70.00000,28222868,32011216,17.05.2018,20.02.2019
052,Petoro AS,37.00000,21212,1626839,,20.02.2019
052,Wintershall Norge AS,4.50000,21212,21666830,,20.02.2019
052,Repsol Norge AS,27.00000,21212,27052812,08.10.2015,20.02.2019
052,Equinor Energy AS,18.00000,21212,32011216,17.05.2018,20.02.2019
052,DEA Norge AS,13.50000,21212,26309819,21.03.2015,20.02.2019
053,Total E&P Norge AS,14.70000,21220,2410708,,20.02.2019
053,Equinor Energy AS,49.30000,21220,32011216,17.05.2018,20.02.2019
053,Petoro AS,33.60000,21220,1626839,,20.02.2019
053,ConocoPhillips Skandinavia AS,2.40000,21220,2410696,,20.02.2019
053 B,Faroe Petroleum Norge AS,14.25670,48207,4062883,03.12.2013,20.02.2019
053 B,Repsol Norge AS,33.84340,48207,27052812,08.10.2015,20.02.2019
053 B,Wintershall Norge AS,35.20000,48207,21666830,07.11.2014,20.02.2019
053 B,Neptune Energy Norge AS,4.44240,48207,31123361,08.12.2018,20.02.2019
053 B,Vår Energi AS,12.25750,48207,33360957,11.12.2018,20.02.2019
053 C,ConocoPhillips Skandinavia AS,2.40000,28941860,2410696,,20.02.2019
053 C,Total E&P Norge AS,14.70000,28941860,2410708,,20.02.2019
053 C,Petoro AS,33.60000,28941860,1626839,,20.02.2019
053 C,Equinor Energy AS,49.30000,28941860,32011216,17.05.2018,20.02.2019
054,Petoro AS,40.80000,21228,1626839,,20.02.2019
054,Total E&P Norge AS,3.69096,21228,2410708,,20.02.2019
054,ConocoPhillips Skandinavia AS,5.19102,21228,2410696,,20.02.2019
054,Equinor Energy AS,24.41802,21228,32011216,17.05.2018,20.02.2019
054,A/S Norske Shell,25.90000,21228,562,,20.02.2019
055,Wintershall Norge AS,35.20000,21236,21666830,07.11.2014,20.02.2019
055,Vår Energi AS,12.25750,21236,33360957,11.12.2018,20.02.2019
055,Repsol Norge AS,33.84340,21236,27052812,08.10.2015,20.02.2019
055,Faroe Petroleum Norge AS,14.25670,21236,4062883,03.12.2013,20.02.2019
055,Neptune Energy Norge AS,4.44240,21236,31123361,08.12.2018,20.02.2019
055 B,Neptune Energy Norge AS,4.44240,102499,31123361,08.12.2018,20.02.2019
055 B,Faroe Petroleum Norge AS,14.25670,102499,4062883,03.12.2013,20.02.2019
055 B,Vår Energi AS,12.25750,102499,33360957,11.12.2018,20.02.2019
055 B,Repsol Norge AS,33.84340,102499,27052812,08.10.2015,20.02.2019
055 B,Wintershall Norge AS,35.20000,102499,21666830,07.11.2014,20.02.2019
055 C,Petoro AS,33.60000,2424830,1626839,,20.02.2019
055 C,Equinor Energy AS,49.30000,2424830,32011216,17.05.2018,20.02.2019
055 C,Total E&P Norge AS,14.70000,2424830,2410708,17.05.2013,20.02.2019
055 C,ConocoPhillips Skandinavia AS,2.40000,2424830,2410696,22.05.2013,20.02.2019
055 D,Neptune Energy Norge AS,4.44240,22813096,31123361,08.12.2018,20.02.2019
055 D,Vår Energi AS,12.25750,22813096,33360957,11.12.2018,20.02.2019
055 D,Faroe Petroleum Norge AS,14.25670,22813096,4062883,09.09.2015,20.02.2019
055 D,Repsol Norge AS,33.84340,22813096,27052812,08.10.2015,20.02.2019
055 D,Wintershall Norge AS,35.20000,22813096,21666830,09.09.2015,20.02.2019
057,Petoro AS,30.00000,21252,1626839,06.07.2018,20.02.2019
057,Equinor Energy AS,31.00000,21252,32011216,06.07.2018,20.02.2019
057,Idemitsu Petroleum Norge AS,9.60000,21252,441,06.07.2018,20.02.2019
057,DEA Norge AS,24.50000,21252,26309819,06.07.2018,20.02.2019
057,Vår Energi AS,4.90000,21252,33360957,11.12.2018,20.02.2019
062,Total E&P Norge AS,24.50000,21292,2410708,,20.02.2019
062,Vår Energi AS,9.80000,21292,33360957,11.12.2018,20.02.2019
062,Equinor Energy AS,45.75000,21292,32011216,17.05.2018,20.02.2019
062,Petoro AS,19.95000,21292,1626839,,20.02.2019
064,Petoro AS,30.00000,21308,1626839,,20.02.2019
064,Total E&P Norge AS,5.00000,21308,2410708,,20.02.2019
064,Equinor Energy AS,49.52000,21308,32011216,17.05.2018,20.02.2019
064,Neptune Energy Norge AS,15.48000,21308,31123361,,20.02.2019
065,Aker BP ASA,55.00000,21316,28544099,,20.02.2019
065,Faroe Petroleum Norge AS,45.00000,21316,4062883,07.12.2016,20.02.2019
065 B,Faroe Petroleum Norge AS,45.00000,30977515,4062883,,20.02.2019
065 B,Aker BP ASA,55.00000,30977515,28544099,,20.02.2019
072,Equinor Energy AS,60.00000,21372,32011216,17.05.2018,20.02.2019
072,ExxonMobil Exploration and Production Norway AS,40.00000,21372,2835212,30.10.2015,20.02.2019
