prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
218,15,Norwegian sea,ACTIVE,NO,02.02.1996,02.02.2041,705.852,93.026,PRODUCTION,22556,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22556,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=22556,23.05.2018,24.05.2018,20.02.2019
218 B,21,Norwegian sea,ACTIVE,NO,13.05.2011,02.02.2041,39.126,14.829,PRODUCTION,20428874,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20428874,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=20428874,23.05.2018,24.05.2018,20.02.2019
219,15,Norwegian sea,ACTIVE,NO,02.02.1996,02.02.2024,377.504,377.504,INITIAL EXTENDED,22564,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22564,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=22564,11.12.2018,11.12.2018,20.02.2019
220,15,Norwegian sea,ACTIVE,NO,02.02.1996,02.02.2024,247.977,247.977,INITIAL EXTENDED,22572,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22572,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=22572,11.12.2018,11.12.2018,20.02.2019
221,BARENTSHAVPROSJEKTET-97,Barents sea,INACTIVE,NO,30.05.1997,30.04.2002,0.000,0.000,,22580,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22580,,29.04.2016,29.04.2016,20.02.2019
222,BARENTSHAVPROSJEKTET-97,,INACTIVE,NO,30.05.1997,30.04.2002,0.000,0.000,,22588,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22588,,25.04.2018,25.04.2018,20.02.2019
223,BARENTSHAVPROSJEKTET-97,,INACTIVE,NO,30.05.1997,30.04.2002,0.000,0.000,,22596,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22596,,25.04.2018,25.04.2018,20.02.2019
224,BARENTSHAVPROSJEKTET-97,Barents sea,INACTIVE,NO,30.05.1997,14.05.2002,1664.872,0.000,,22604,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22604,,25.04.2018,25.04.2018,20.02.2019
225,BARENTSHAVPROSJEKTET-97,Barents sea,INACTIVE,NO,30.05.1997,01.01.2009,0.000,0.000,,22612,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22612,,29.04.2016,29.04.2016,20.02.2019
226,BARENTSHAVPROSJEKTET-97,Barents sea,INACTIVE,NO,30.05.1997,31.12.2017,0.000,0.000,,22620,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22620,,03.01.2018,04.01.2018,20.02.2019
