wlbnpdidwellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
1315,"6407/9-U-14","6407/9-U-14",,,"OTHER","A/S Norske Shell","NO",,,,,,,0,"SOIL DRILLING",0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1315",,"NO","POINT(7.738853 64.310531)"
1316,"34/10-B-7","34/10-B-7","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS B","GULLFAKS B",1989-03-19 00:00:00+01,1989-04-11 00:00:00+02,"WATER","PLUGGED",173,"INJECTION",142.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1316","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1316","NO","POINT(2.201814 61.202753)"
1317,"6206/2-U-6","6206/2-U-6",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,,,,"WILL NEVER BE DRILLED",0,,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1317",,"NO","POINT(6.563306 62.9495)"
1318,"6206/2-U-7","6206/2-U-7",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,,,,"WILL NEVER BE DRILLED",0,,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1318",,"NO","POINT(6.58925 62.943056)"
1319,"6206/2-U-9","6206/2-U-9",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,,,,"WILL NEVER BE DRILLED",0,,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1319",,"NO","POINT(6.556639 62.951417)"
1320,"30/9-U-1","30/9-U-1",,,"OTHER","Norsk Hydro Produksjon AS","NO",,,,,,,0,"SOIL DRILLING",0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1320",,"NO","POINT(2.827314 60.491864)"
1321,"31/6-U-14","31/6-U-14",,,"OTHER","Den norske stats oljeselskap a.s","NO",,,1988-06-24 00:00:00+02,1988-06-24 00:00:00+02,,"P&A",0,"SOIL DRILLING",0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1321",,"NO","POINT(3.696478 60.650267)"
1322,"31/6-U-15","31/6-U-15",,,"OTHER","Den norske stats oljeselskap a.s","NO",,,1988-07-05 00:00:00+02,1988-07-05 00:00:00+02,,"P&A",0,"SOIL DRILLING",0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1322",,"NO","POINT(3.694942 60.650328)"
1323,"31/6-U-16","31/6-U-16",,,"OTHER","Den norske stats oljeselskap a.s","NO",,,,,,,0,"SOIL DRILLING",0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1323",,"NO","POINT(3.696239 60.650289)"
1324,"31/6-U-17","31/6-U-17",,,"OTHER","Den norske stats oljeselskap a.s","NO",,,,,,,0,"SOIL DRILLING",0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1324",,"NO","POINT(3.696239 60.650289)"
1328,"7029/3-U-1","7029/3-U-1",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1988-08-19 00:00:00+02,1988-08-23 00:00:00+02,,"P&A",0,"SCIENTIFIC",366.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1328",,"NO","POINT(29.904186 70.902825)"
1329,"7127/10-U-3","7127/10-U-3",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1988-08-07 00:00:00+02,1988-08-10 00:00:00+02,,"P&A",0,"SCIENTIFIC",264.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1329",,"NO","POINT(27.184011 71.181947)"
1330,"7128/12-U-1","7128/12-U-1",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1988-08-10 00:00:00+02,1988-08-14 00:00:00+02,,"P&A",0,"SCIENTIFIC",409.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1330",,"NO","POINT(28.841347 71.240458)"
1332,"7029/3-U-2","7029/3-U-2",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1988-08-23 00:00:00+02,1988-08-27 00:00:00+02,,"P&A",0,"SCIENTIFIC",308.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1332",,"NO","POINT(29.981544 70.935281)"
1338,"34/8-3","34/8-3 A","VISUND","120","EXPLORATION","Norsk Hydro Produksjon AS","NO","POLAR PIONEER",,1988-09-14 00:00:00+02,1988-10-31 00:00:00+01,"OIL/GAS","P&A",13,"APPRAISAL",382.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1338","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1338","NO","POINT(2.54585 61.407789)"
1339,"7321/9-1","7321/9-1",,"141","EXPLORATION","Norsk Hydro Produksjon AS","NO","ROSS RIG (2)",,1988-10-25 00:00:00+01,1988-11-28 00:00:00+01,"SHOWS","P&A",12,"WILDCAT",459.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1339","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1339","NO","POINT(21.683522 73.268706)"
1340,"6507/8-4","6507/8-4","HEIDRUN","124","EXPLORATION","Den norske stats oljeselskap a.s","NO","DEEPSEA BERGEN",,1990-06-14 00:00:00+02,1990-08-13 00:00:00+02,"OIL/GAS","P&A",13,"WILDCAT",354.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1340","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1340","YES","POINT(7.399903 65.388106)"
1397,"13/1-U-1","13/1-U-1",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1989-05-12 00:00:00+02,1989-05-21 00:00:00+02,,"P&A",0,"SCIENTIFIC",525.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1397",,"NO","POINT(8.203689 57.851042)"
1342,"6506/12-6","6506/12-6","ÅSGARD","094","EXPLORATION","Den norske stats oljeselskap a.s","NO","DYVI DELTA",,1986-03-31 00:00:00+02,1986-08-02 00:00:00+02,"GAS/CONDENSATE","P&A",17,"APPRAISAL",272.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1342","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1342","NO","POINT(6.778664 65.166)"
1343,"2/4-14","2/4-14",,"146","EXPLORATION","Saga Petroleum ASA","NO","TREASURE SAGA",,1988-10-06 00:00:00+01,1989-01-31 00:00:00+01,"OIL/GAS","SUSPENDED",13,"WILDCAT",68.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1343","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1343","YES","POINT(3.1453 56.684794)"
1344,"2/4-B-3","2/4-B-3 A","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK B","EKOFISK B",1988-10-10 00:00:00+01,1988-11-05 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1344","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1344","NO","POINT(3.203861 56.565219)"
1345,"2/4-K-5","2/4-K-5","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK K","EKOFISK K",1988-10-12 00:00:00+01,1988-12-25 00:00:00+01,"WATER","PLUGGED",173,"INJECTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1345","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1345","NO","POINT(3.206336 56.565531)"
1346,"25/5-2","25/5-2","FRØY","102","EXPLORATION","Elf Petroleum Norge AS","NO","WEST VANGUARD",,1989-04-18 00:00:00+02,1989-07-04 00:00:00+02,"OIL","P&A",5,"APPRAISAL",117.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1346","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1346","NO","POINT(2.535717 59.703689)"
1398,"13/1-U-2","13/1-U-2",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1989-05-21 00:00:00+02,1989-05-27 00:00:00+02,,"P&A",0,"SCIENTIFIC",505.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1398",,"NO","POINT(8.203881 57.811883)"
1574,"2/4-C-22","2/4-C-22","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK C","EKOFISK C",1991-01-16 00:00:00+01,1991-03-12 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",73.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1574","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1574","NO","POINT(3.215561 56.548)"
1350,"7125/1-1","7125/1-1",,"135","EXPLORATION","Saga Petroleum ASA","NO","ROSS RIG (2)",,1988-11-30 00:00:00+01,1988-12-30 00:00:00+01,"OIL/GAS","P&A",13,"WILDCAT",252.200000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1350","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1350","YES","POINT(25.187628 71.890072)"
1351,"2/8-12","2/8-12 S",,"006","EXPLORATION","Amoco Norway Oil Company","NO","DYVI STENA",,1988-11-07 00:00:00+01,1989-04-27 00:00:00+02,"SHOWS","P&A",12,"WILDCAT",68.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1351","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1351","NO","POINT(3.437611 56.396889)"
1353,"2/4-K-7","2/4-K-7","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK K","EKOFISK K",1990-09-24 00:00:00+02,1990-12-04 00:00:00+01,"WATER","PLUGGED",173,"INJECTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1353","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1353","NO","POINT(3.206244 56.565514)"
1355,"25/2-12","25/2-12 A","LILLE-FRIGG","026","EXPLORATION","Elf Petroleum Norge AS","NO","WEST VANGUARD",,1988-11-12 00:00:00+01,1989-04-06 00:00:00+02,"GAS/CONDENSATE","P&A",17,"APPRAISAL",115.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1355","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1355","NO","POINT(2.394661 59.963428)"
1356,"35/11-3","35/11-3 S",,"090","EXPLORATION","Mobil Exploration Norway INC","NO","DYVI STENA",,1989-06-27 00:00:00+02,1989-09-09 00:00:00+02,"OIL SHOWS","P&A",12,"WILDCAT",358.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1356","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1356","NO","POINT(3.338464 61.086733)"
1358,"33/12-7","33/12-7",,"152","EXPLORATION","Den norske stats oljeselskap a.s","NO","DEEPSEA BERGEN",,1989-02-22 00:00:00+01,1989-04-27 00:00:00+02,"DRY","P&A",1,"WILDCAT",140.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1358","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1358","NO","POINT(1.909028 61.126589)"
1359,"2/7-A-2","2/7-A-2 A","ELDFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","ELDFISK A","ELDFISK A",1989-04-05 00:00:00+02,1989-05-19 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1359","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1359","NO","POINT(3.266081 56.37675)"
1360,"6407/7-4","6407/7-4","NJORD","107","EXPLORATION","Norsk Hydro Produksjon AS","NO","POLAR PIONEER",,1989-01-13 00:00:00+01,1989-03-28 00:00:00+02,"OIL","P&A",5,"APPRAISAL",329.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1360","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1360","NO","POINT(7.223844 64.262064)"
1362,"30/6-C-10","30/6-C-10","OSEBERG","053","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","TRANSOCEAN 8","OSEBERG C",1988-12-27 00:00:00+01,1989-02-18 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",108.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1362","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1362","NO","POINT(2.775939 60.608192)"
1363,"34/10-A-20","34/10-A-20","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS A","GULLFAKS A",1988-12-09 00:00:00+01,1989-01-07 00:00:00+01,"WATER","PLUGGED",173,"INJECTION",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1363","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1363","NO","POINT(2.189364 61.176344)"
1365,"34/10-33","34/10-33 A","GULLFAKS SØR","050","EXPLORATION","Den norske stats oljeselskap a.s","NO","WEST DELTA",,1988-12-15 00:00:00+01,1989-02-03 00:00:00+01,"OIL/GAS","P&A",13,"APPRAISAL",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1365","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1365","NO","POINT(2.215861 61.126233)"
1366,"7120/1-2","7120/1-2",,"108","EXPLORATION","A/S Norske Shell","NO","ROSS RIG (2)",,1989-01-01 00:00:00+01,1989-03-28 00:00:00+02,"OIL","P&A",5,"WILDCAT",304.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1366","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1366","YES","POINT(20.278606 71.7914)"
1367,"2/7-19","2/7-19",,"018","EXPLORATION","Phillips Petroleum Company Norway","NO","BORGSTEN DOLPHIN",,1980-09-02 00:00:00+02,1981-02-02 00:00:00+01,"OIL","SUSPENDED",5,"WILDCAT",73.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1367","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1367","YES","POINT(3.103389 56.338639)"
1368,"2/1-A-2","2/1-A-2","GYDA","019 B","DEVELOPMENT","BP Norway Limited U.A.","NO","VILDKAT EXPLORER","GYDA",1989-02-21 00:00:00+01,1989-05-03 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",66.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1368","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1368","NO","POINT(3.085258 56.904892)"
578,"25/1-A-13","25/1-A-13","FRIGG","024","DEVELOPMENT","Elf Petroleum Norge AS","NO","FRIGG DP2","FRIGG DP2",1977-08-20 00:00:00+02,1979-08-19 00:00:00+02,"GAS","P&A",90,"PRODUCTION",98.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=578","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=578","NO","POINT(2.072628 59.885978)"
2785,"2/8-A-26","2/8-A-26 A","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1996-03-18 00:00:00+01,1996-04-11 00:00:00+02,"OIL","CLOSED",50,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2785","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=2785","NO","POINT(3.395611 56.278061)"
1371,"2/4-15","2/4-15 S",,"146","EXPLORATION","Saga Petroleum ASA","NO","TREASURE SAGA",,1989-01-31 00:00:00+01,1990-03-16 00:00:00+01,"DRY","SUSPENDED",1,"WILDCAT",68.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1371","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1371","NO","POINT(3.144108 56.674236)"
1402,"13/2-U-1","13/2-U-1",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1989-05-27 00:00:00+02,1989-05-29 00:00:00+02,,"P&A",0,"SCIENTIFIC",514.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1402",,"NO","POINT(8.366811 57.984758)"
1079,"2/4-A-15","2/4-A-15 A","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK A","EKOFISK A",1987-04-12 00:00:00+02,1987-06-12 00:00:00+02,"OIL","P&A",50,"PRODUCTION",70.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1079","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1079","NO","POINT(3.22285 56.520881)"
1375,"35/9-1","35/9-1","GJØA","153","EXPLORATION","Norsk Hydro Produksjon AS","NO","POLAR PIONEER",,1989-04-01 00:00:00+02,1989-05-07 00:00:00+02,"OIL/GAS","SUSPENDED",13,"WILDCAT",361.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1375","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1375","YES","POINT(3.984367 61.385542)"
7381,"7418/11-U-4","7418/11-U-4",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,,,,,0,,117.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=7381",,"NO","POINT(18.457389 74.147175)"
1377,"2/4-K-19","2/4-K-19","EKOFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","EKOFISK K","EKOFISK K",1989-02-16 00:00:00+01,1989-06-20 00:00:00+02,"WATER","PLUGGED",173,"INJECTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1377","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1377","NO","POINT(3.206106 56.565511)"
580,"25/1-A-14","25/1-A-14","FRIGG","024","DEVELOPMENT","Elf Petroleum Norge AS","NO","FRIGG DP2","FRIGG DP2",1977-08-06 00:00:00+02,1979-08-26 00:00:00+02,"GAS","P&A",90,"PRODUCTION",98.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=580","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=580","NO","POINT(2.070675 59.883583)"
2283,"2/8-A-7","2/8-A-7 B","VALHALL","006","DEVELOPMENT","Amoco Norway Oil Company","NO","VALHALL","VALHALL DP",1994-02-03 00:00:00+01,1994-04-25 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2283","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=2283","NO","POINT(3.395467 56.278039)"
1380,"2/7-B-1","2/7-B-1 A","ELDFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","ELDFISK B","ELDFISK B",1989-02-28 00:00:00+01,1989-06-17 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1380","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1380","NO","POINT(3.218456 56.419161)"
7382,"7418/11-U-5","7418/11-U-5",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,,,,,0,,110.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=7382",,"NO","POINT(18.457389 74.143231)"
1382,"1/2-1","1/2-1","BLANE","143","EXPLORATION","Phillips Petroleum Norsk AS","NO","ROSS ISLE",,1989-03-20 00:00:00+01,1989-06-04 00:00:00+02,"OIL","P&A",5,"WILDCAT",72.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1382","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1382","YES","POINT(2.476583 56.887519)"
1383,"2/8-13","2/8-13",,"006","EXPLORATION","Amoco Norway Oil Company","NO","DYVI STENA",,1989-04-29 00:00:00+02,1989-06-22 00:00:00+02,"SHOWS","P&A",12,"WILDCAT",68.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1383","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1383","NO","POINT(3.399328 56.389347)"
1384,"34/10-33","34/10-33 C","GULLFAKS SØR","050","EXPLORATION","Den norske stats oljeselskap a.s","NO","DEEPSEA BERGEN",,1989-07-10 00:00:00+02,1989-08-01 00:00:00+02,"OIL/GAS","RE-CLASS TO TEST",13,"APPRAISAL",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1384","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1384","NO","POINT(2.215861 61.126233)"
1385,"2/1-A-1","2/1-A-1","GYDA","019 B","DEVELOPMENT","BP Norway Limited U.A.","NO","VILDKAT EXPLORER","GYDA",1989-05-26 00:00:00+02,1989-07-19 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",66.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1385","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1385","NO","POINT(3.085289 56.904875)"
1403,"13/2-U-2","13/2-U-2",,,"OTHER","IKU Petroleumsforskning SINTEF Gruppen","NO",,,1989-05-29 00:00:00+02,1989-06-01 00:00:00+02,,"P&A",0,"SCIENTIFIC",522.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=1403",,"NO","POINT(8.366839 57.994656)"
1388,"33/9-C-36","33/9-C-36","STATFJORD","037","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","STATFJORD C","STATFJORD C",1989-04-15 00:00:00+02,1989-05-29 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",145.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1388","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=1388","NO","POINT(1.902739 61.296328)"
604,"25/1-B-1","25/1-B-1 H","NORDØST FRIGG","024","DEVELOPMENT","Elf Petroleum Norge AS","NO","BYFORD DOLPHIN","NORDØST FRIGG",1982-01-17 00:00:00+01,1982-02-17 00:00:00+01,"NOT APPLICABLE","P&A",81,"PRODUCTION",103.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=604","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=604","NO","POINT(2.2477 59.98535)"
1391,"6608/10-1","6608/10-1",,"128","EXPLORATION","Den norske stats oljeselskap a.s","NO","ROSS RIG (2)",,1989-04-15 00:00:00+02,1989-05-29 00:00:00+02,"DRY","P&A",1,"WILDCAT",375.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1391","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=1391","NO","POINT(8.166867 66.115811)"
3860,"2/7-D-6","2/7-D-6","EMBLA","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","MÆRSK GALLANT","EMBLA",1999-08-25 00:00:00+02,1999-11-02 00:00:00+01,"OIL","CLOSED",50,"PRODUCTION",70.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3860","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=3860","NO","POINT(3.248228 56.333247)"
5352,"2/8-G-22","2/8-G-22","VALHALL","006 B","DEVELOPMENT","BP Norge AS","NO","VALHALL IP","VALHALL IP",2007-03-13 00:00:00+01,2007-11-01 00:00:00+01,"WATER","PLUGGED",173,"INJECTION",73.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=5352","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=5352","NO","POINT(3.396356 56.276581)"
