wlbnpdidwellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
6485,"31/5-J-14","31/5-J-14 AY1H","TROLL","085","DEVELOPMENT","Statoil Petroleum AS","YES","STENA DON","TROLL J1",2011-01-02 00:00:00+01,2011-03-05 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",315.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6485","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6485","NO","POINT(3.607917 60.743214)"
6486,"31/5-J-14","31/5-J-14 AY2H","TROLL","085","DEVELOPMENT","Statoil Petroleum AS","YES","STENA DON","TROLL J1",2011-03-06 00:00:00+01,2011-03-20 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",315.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6486","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6486","NO","POINT(3.607917 60.743214)"
6488,"15/6-11","15/6-11 S","GINA KROG","303","EXPLORATION","Statoil Petroleum AS","NO","OCEAN VANGUARD",,2010-10-27 00:00:00+02,2010-12-19 00:00:00+01,"DRY","P&A",1,"APPRAISAL",115.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6488","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6488","NO","POINT(1.702947 58.569061)"
6489,"25/4-L-1","25/4-L-1 H","ALVHEIM","036 C","DEVELOPMENT","Marathon Petroleum Norge AS","NO","SONGA DEE","ØST KAMELEON",2010-10-18 00:00:00+02,2010-11-16 00:00:00+01,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6489","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6489","NO","POINT(2.086439 59.585947)"
6490,"25/4-L-1","25/4-L-1 BY1H","ALVHEIM","036 C","DEVELOPMENT","Marathon Petroleum Norge AS","YES","SONGA DEE","ØST KAMELEON",2011-06-21 00:00:00+02,2011-07-21 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6490","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6490","NO","POINT(2.086439 59.585947)"
6491,"25/4-L-1","25/4-L-1 BY2H","ALVHEIM","036 C","DEVELOPMENT","Marathon Oil Norge AS","YES","SONGA DEE","ØST KAMELEON",2011-07-22 00:00:00+02,2011-08-06 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6491","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6491","NO","POINT(2.086439 59.585947)"
6492,"25/4-L-2","25/4-L-2 Y1H","ALVHEIM","036 C","DEVELOPMENT","Marathon Petroleum Norge AS","YES","SONGA DEE","ØST KAMELEON",2010-10-28 00:00:00+02,2011-01-01 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6492","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6492","NO","POINT(2.086167 59.585786)"
6493,"25/4-L-2","25/4-L-2 Y2H","ALVHEIM","036 C","DEVELOPMENT","Marathon Petroleum Norge AS","YES","SONGA DEE","ØST KAMELEON",2011-01-02 00:00:00+01,2011-01-16 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6493","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6493","NO","POINT(2.086167 59.585786)"
6494,"25/4-L-3","25/4-L-3 H","ALVHEIM","036 C","DEVELOPMENT","Marathon Petroleum Norge AS","NO","SONGA DEE","ØST KAMELEON",2010-11-04 00:00:00+01,2011-02-21 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6494","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6494","NO","POINT(2.086792 59.585792)"
6495,"34/10-53","34/10-53 A","GULLFAKS SØR","050","EXPLORATION","Statoil Petroleum AS","NO","DEEPSEA ATLANTIC",,2011-03-24 00:00:00+01,2011-06-01 00:00:00+02,"GAS/CONDENSATE","P&A",17,"WILDCAT",137.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6495","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6495","YES","POINT(2.116761 61.067975)"
